Chinese	57
Singapore	48
interesting	40
statues	39
attraction	24
visited	21
mythology	21
children	19
visiting	16
station	15
chinese	14
different	13
history	13
fascinating	12
entrance	12
tourist	12
legends	12
Gardens	11
experience	11
dioramas	10
sculptures	10
folklore	10
depicting	10
attractions	9
culture	9
displays	9
stories	9
bizarre	8
admission	8
visitors	8
maintained	7
colourful	7
brothers	7
looking	7
graphic	7
remember	7
strange	7
display	7
enjoyed	6
cultural	6
gruesome	6
beliefs	6
