Sentiment,Review
positive,"Great collection of gaudy statuary. Some parts even educate you on Chinese mythology. After all the sanitised white-bread attractions elsewhere in Singapore, this was easily the most interesting thing I found. And it's free. They should really clean it up a bit."
positive,"It's showing it's age a bit, but if you know anything about Chinese mythology (e.g. Journey to the West, Sun Wukong ... the 's Japanese TV series Monkey!) then it's a pleasant place to walk around - good fun re-enacting the statue poses too."
positive,It's easy to get to (right next to the MRT stop) and free (apart from the...
positive,"We came here with our youngish kids (//) and they enjoyed recreating the statue poses! it is quite a big area, and it was really hot with little or no shade or breeze so be warned! overall it is a bit run down, but we went quite late in the day and almost had the place to ourselves."
positive,Enjoyable.
positive,"If you're really into Chinese legend and folk tales, then you should come. However, don't allocate the entire day for this. The location is pretty much out of the way and there is nothing interesting around the park. Take the Circle Line from Harborfront if you're coming from the city. Think twice about taking your children. Some displays may scare..."
positive,"We went to Haw Par Villa on  July . AKA the Tiger Balm Gardens, this place tells the story of the founders of the famous cure-all Tiger Balm and also is part religious history, Chinese folk lore and mythology. The whole park is free to the public to walk around and see everything. Bathroom facilities are in several places..."
positive,"A little run down however a great place to visit, about $ taxi trip from the city. Bring a camera and comfy shoes. Make sure to look for the turtles in the pond"
positive,I lived in Singapore in the late s. I loved this place then and have visited many times. It is incredible the workmanship that has gone into creating this attraction. It depicts ancient Chinese folk and mythology tales. I love just wondering round gazing at all the beautiful statues. It is easier to get to now the MRT runs nearly...
positive,Visited here as a child in the 's and was curious to return with my family. It's hard to describe this place -quirky definately. Statues and tableau tell stories from the Asian culture. The paths of hell not great for young children but my teenager found it entertaining. A free way to spend an hour. I would take your own...
positive,"Wasn't sure what to expect but I'm into out of the ordinary experiences so this was right up my ally! It's basically an old park full of colourful statues and scenery depicting myths it's a little run down but I think it adds to the charm, especially in Singapore! Some statues depict gory scenes so if you have kids it's..."
positive,"Easily reached by taking the Circle Line and alighting at the Haw Par Villa Station. Once you exit, it will be on your right and you absolutely cannot miss this unique place."
positive,"It showcases a lot of ""interesting"" statues all over the place. Some are easily recognizable while others may seem characters jumping out of the Chinese zodiac calendar. Despite..."
positive,"First time I visited Haw Par Villa was  years ago, it used to be one of Singapore's premier attractions. Now its Sad but kinda interesting to see its just been left to fall into disrepair."
